Artisan,Product_name,Principles,Materials,Processes,Industrial_scale_items,Regular_price,Last_price,Unit_price,Url
Olive mode,Touchland - Power Mist Berry Bliss,"woman owned, black owned",", , ,",", , ,",,Regular price,$10.00 USD,Regular price,https://www.olivemodeboutique.com/products/touchland-power-mist-berry-bliss
Olive mode,Touchland - Power Mist Lemon Lime Spritz,"woman owned, black owned",", , ,",", , ,",,Regular price,$10.00 USD,Regular price,https://www.olivemodeboutique.com/products/touchland-power-mist-lemon-lime-spritz
Olive mode,Touchland - Power Mist Pure Lavender,"woman owned, black owned",", , ,",", , ,",,Regular price,$10.00 USD,Regular price,https://www.olivemodeboutique.com/products/touchland-power-mist-pure-lavender
Olive mode,Touchland - Power Mist Vanilla Blossom,"woman owned, black owned",", , ,",", , ,",,Regular price,$10.00 USD,Regular price,https://www.olivemodeboutique.com/products/touchland-power-mist-vanilla-blossom
Olive mode,Touchland - Smiley x Touchland Mango Passion,"woman owned, black owned",", , ,",", , ,",,Regular price,$10.00 USD,Regular price,https://www.olivemodeboutique.com/products/touchland-smiley-x-touchland-mango-passion
Olive mode,Touchland - Touchland Mist Case Blue,"woman owned, black owned",", , ,",", , ,",,Regular price,$5.50 USD,Regular price,https://www.olivemodeboutique.com/products/touchland-touchland-mist-case-blue
Olive mode,Touchland - Touchland Mist Case Pink,"woman owned, black owned",", , ,",", , ,",,Regular price,$5.50 USD,Regular price,https://www.olivemodeboutique.com/products/touchland-touchland-mist-case-pink
Olive mode,Touchland - Touchland Mist Case Red,"woman owned, black owned",", , ,",", , ,",,Regular price,$6.00 USD,Regular price,https://www.olivemodeboutique.com/products/touchland-touchland-mist-case-red
Olive mode,Tracee Magenta Pink Metallic Long Sleeve Cutout Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$98.00 USD,Regular price,https://www.olivemodeboutique.com/products/magenta-pink-metallic-long-sleeve-cutout-dress
Olive mode,Vielö - Organic Hand Balm 50ml,"woman owned, black owned",", , ,",", , ,",,Regular price,$22.00 USD,Regular price,https://www.olivemodeboutique.com/products/vielo-explore-organic-foot-balm-50ml
Olive mode,Vivica Clear Evening Clutch,"woman owned, black owned",", , ,",", , ,",,Regular price,$70.00 USD,Regular price,https://www.olivemodeboutique.com/products/urban-expressions-sophia-evening-bag
Olive mode,Wake Up Hydrogel Eye Mask Charcoal + Hyaluronic Acid,"woman owned, black owned",", , ,",", , ,",,Regular price,$5.00 USD,Regular price,https://www.olivemodeboutique.com/products/bright-eyes-collagen-eye-mask-1-pair
